Rank,Min Steps,Average Steps,Max Steps,Min Time,Average Time,Max Time,Count
105,2266022,5734109.0,10140496,94298.682,165442.56133333335,254637.999,6
108,712673,3291572.3421052634,9709745,35088.195,121516.52465789474,258650.688,38
111,622315,3358895.187134503,8856706,29133.198,128694.8001520468,265225.351,171
114,213931,2479834.8324175826,8051513,10977.072,108252.51427472524,263275.654,364
117,70996,1786215.8608137046,7721004,1423.2640000000001,85613.86179014987,262756.895,467
120,34617,1112595.132,4542873,506.726,57759.074972,242376.103,500
123,25499,579705.0196078431,4187926,246.54,32198.237211764692,253795.31,510
126,20584,184665.294921875,1933001,138.415,9940.650042968751,127854.766,512
129,183,20379.931640625,886947,24.138,837.379048828125,69375.927,512
132,6,57.72265625,418,0.392,17.723865234374994,25.889,512
