Rank,Min Steps,Average Steps,Max Steps,Min Time,Average Time,Max Time,Count
49,615263,615263.0,615263,752.4490000000001,752.4490000000001,752.4490000000001,1
50,615259,615259.0,615259,752.448,752.448,752.448,1
51,615257,615257.0,615257,752.446,752.446,752.446,1
52,598212,598212.0,598212,746.5740000000001,746.5740000000001,746.5740000000001,1
53,371702,621897.9230769231,952652,425.789,701.7215384615386,1041.132,13
54,259572,615987.3692307692,963530,267.397,688.6527846153845,1118.854,65
55,163835,566314.1696969697,965754,185.512,664.5400545454545,1144.4750000000001,165
56,88497,437045.31196581194,966713,118.825,563.5158461538464,1246.416,234
57,60995,313789.5863453815,846800,87.936,450.5868795180724,1172.055,249
58,27267,240124.004,834642,46.103,373.498328,993.192,250
59,25806,180443.876,510174,44.493,301.84122,821.3870000000001,250
60,22010,138427.204,379782,38.949,245.45459599999995,721.051,250
61,14067,105618.548,328979,26.150000000000002,196.227192,650.823,250
62,5048,70939.368,266348,9.958,138.06714800000003,542.923,250
63,672,37848.456,230487,1.438,76.94578400000005,475.19800000000004,250
