Rank,Min Steps,Average Steps,Max Steps,Min Time,Average Time,Max Time,Count
101,6998780,8648883.0,9761604,7708.668000000001,9215.404333333334,11939.913,3
103,6998779,8648816.0,9761603,7708.656,9215.328666666666,11939.7,3
105,638252,6032539.8,9761603,850.117,6299.9259999999995,11939.696,5
108,553735,3947728.153846154,8595017,789.188,4775.3568076923075,11536.987000000001,26
111,472728,3782614.1839080458,9788778,681.152,4921.39103448276,13643.489,87
114,254658,3003815.60625,9938323,395.257,4392.530962500001,13766.188,160
117,39355,2002288.0572916667,8072776,40.28,3291.255619791668,12492.437,192
120,29741,1270568.2731707317,6421357,27.276,2250.2177804878056,9499.666000000001,205
123,9507,662624.0428571429,3322008,6.051,1294.8776904761896,6664.218,210
126,7314,321186.69668246445,2670673,3.982,669.8949952606634,5833.316,211
129,486,80870.07009345795,1424465,0.241,173.50283644859817,3002.558,214
132,24,3442.8598130841124,483955,0.014,7.093672897196257,1311.833,214
