Rank,Min Steps,Average Steps,Max Steps,Min Time,Average Time,Max Time,Count
54,542751,578883.0,631184,169.752,177.5306666666667,191.296,3
55,391020,452888.6666666667,524136,140.663,154.57733333333334,164.721,3
56,111468,438014.4,818127,37.288000000000004,142.09140000000002,229.839,5
57,86943,263034.6,340761,31.578,99.6756,134.832,5
58,81225,211046.6,328493,30.103,84.78740000000002,126.71000000000001,5
59,48208,166217.6,259246,20.406,70.7278,103.34700000000001,5
60,39358,139140.0,224812,17.547,61.32840000000001,98.61,5
61,25080,97870.6,143781,12.237,45.6352,69.636,5
62,11802,61113.0,138997,5.908,30.032600000000002,68.199,5
63,5868,26550.4,88556,3.051,13.349799999999998,43.556,5
