Rank,Min Steps,Average Steps,Max Steps,Min Time,Average Time,Max Time,Count
1008,119,205.66666666666666,249,6.3580000000000005,12.463666666666668,15.651,3
1029,65,118.5,242,2.414,6.434666666666666,15.376,6
1050,54,70.77777777777777,92,1.724,3.076,4.752,9
1071,52,73.23076923076923,164,1.6560000000000001,3.4423076923076916,10.729000000000001,13
1092,49,62.357142857142854,173,1.6260000000000001,2.737428571428571,11.598,14
1113,46,46.0,46,1.27,1.351125,1.458,16
1134,44,44.0,44,1.173,1.255625,1.3760000000000001,16
1155,42,42.0,42,1.06,1.161125,1.283,16
1176,40,40.0,40,0.972,1.0907499999999999,1.23,16
1197,38,38.0,38,0.865,0.9745625000000002,1.1340000000000001,16
1218,36,36.0,36,0.8310000000000001,0.9278125,1.06,16
1239,34,34.0,34,0.726,0.8233124999999999,0.902,16
1260,32,32.0,32,0.649,0.7332500000000001,0.8150000000000001,16
1281,30,30.0,30,0.612,0.6871875000000001,0.769,16
1302,28,28.0,28,0.534,0.6375624999999999,0.739,16
1323,26,26.0,26,0.508,0.5904375000000002,0.672,16
1344,24,24.0,24,0.422,0.5263749999999999,0.643,16
1365,22,22.0,22,0.41600000000000004,0.5061249999999999,0.637,16
1386,20,20.0,20,0.363,0.4574375,0.587,16
1407,18,18.0,18,0.32,0.4420625000000001,0.586,16
1428,16,16.0,16,0.253,0.40018750000000003,0.553,16
1449,14,14.0,14,0.252,0.38975,0.55,16
1470,12,12.0,12,0.243,0.34725000000000006,0.501,16
1491,10,10.0,10,0.242,0.33406250000000004,0.501,16
1512,8,8.0,8,0.224,0.3178125,0.5,16
1533,6,6.0,6,0.203,0.303875,0.496,16
1554,4,4.0,4,0.201,0.2863750000000001,0.403,16
1575,2,2.0,2,0.199,0.267375,0.328,16
