Rank,Min Steps,Average Steps,Max Steps,Min Time,Average Time,Max Time,Count
53,738911,738911.0,738911,675.63,675.63,675.63,1
54,381963,800643.1666666666,1179811,441.806,779.4273333333334,1148.301,6
55,274092,549155.2,996202,362.78700000000003,629.2315000000001,1091.348,10
56,202652,389638.3125,1068056,251.232,484.27337500000004,1214.374,16
57,74609,257334.6875,467401,107.60300000000001,359.48806250000007,636.368,16
58,64374,199690.4375,366133,97.992,298.4839375,529.785,16
59,43555,164584.125,340163,75.403,257.904375,499.66,16
60,30984,120040.6875,261328,60.802,199.01568750000004,426.601,16
61,23250,83251.875,216522,42.661,145.989125,378.906,16
62,17805,52141.4375,97628,33.168,97.09650000000002,184.591,16
63,3694,27789.9375,92637,6.049,54.005250000000004,175.835,16
