Rank,Min Steps,Average Steps,Max Steps,Min Time,Average Time,Max Time,Count
103,3066885,3066885.0,3066885,4162.796,4162.796,4162.796,1
105,3066885,3066885.0,3066885,4162.783,4162.783,4162.783,1
108,1691723,4874981.4,8328926,2895.524,7717.659133333334,19752.420000000002,15
111,851103,3895430.0754716983,9897332,1670.6970000000001,6246.955150943397,16099.598,53
114,508427,3362694.2604166665,9362595,1056.203,5853.934770833333,19780.207000000002,96
117,458452,2672313.1147540985,9572794,960.9780000000001,5053.400704918031,17829.112,122
120,331177,1827978.2794117648,7056116,704.9110000000001,3863.2285661764704,16857.668,136
123,233395,1174238.1897810218,3939472,558.86,2716.9822262773732,12947.446,137
126,121392,807177.0863309352,3238047,241.993,1968.6531798561139,7780.323,139
129,25896,446907.3642857143,1466252,66.751,1172.2024000000004,3960.631,140
132,2054,201127.40425531915,1119970,5.732,572.0775106382978,3125.483,141
