Rank,Min Steps,Average Steps,Max Steps,Min Time,Average Time,Max Time,Count
861,211534,211534.0,211534,7580.2970000000005,7580.2970000000005,7580.2970000000005,1
882,125663,125663.0,125663,4630.445,4630.445,4630.445,1
903,110826,122182.5,133539,4085.504,4837.317,5589.13,2
924,6004,58564.0,120373,217.411,3046.8544,8111.116,5
945,5285,52820.0,214574,193.442,2129.2655555555557,8542.389000000001,9
966,2001,30364.5,113379,75.892,1292.0180833333334,4518.31,12
987,340,25281.35714285714,194224,14.889000000000001,1121.8782142857142,8585.742,14
1008,167,8594.75,67979,7.507000000000001,384.45456250000007,3060.78,16
1029,60,882.5625,5925,2.265,38.912437499999996,259.284,16
1050,55,280.0,1363,2.181,12.7724375,60.314,16
1071,50,50.0,50,1.897,1.9866875000000004,2.076,16
1092,48,48.0,48,1.87,1.9838750000000003,2.075,16
1113,46,46.0,46,1.7790000000000001,1.8646249999999998,1.954,16
1134,44,44.0,44,1.657,1.7518125,1.849,16
1155,42,42.0,42,1.564,1.6510625,1.7510000000000001,16
1176,40,40.0,40,1.466,1.5467500000000003,1.622,16
1197,38,38.0,38,1.368,1.4438749999999998,1.5350000000000001,16
1218,36,36.0,36,1.2770000000000001,1.3540625,1.437,16
1239,34,34.0,34,1.153,1.254375,1.347,16
1260,32,32.0,32,1.077,1.1716250000000001,1.2710000000000001,16
1281,30,30.0,30,1.0130000000000001,1.0833125000000001,1.228,16
1302,28,28.0,28,0.9480000000000001,1.024,1.1320000000000001,16
1323,26,26.0,26,0.908,0.9638125,1.072,16
1344,24,24.0,24,0.8290000000000001,0.8842500000000001,0.933,16
1365,22,22.0,22,0.753,0.8116875,0.879,16
1386,20,20.0,20,0.669,0.7456874999999998,0.8220000000000001,16
1407,18,18.0,18,0.519,0.6475,0.732,16
1428,16,16.0,16,0.47200000000000003,0.5487499999999998,0.644,16
1449,14,14.0,14,0.42,0.484875,0.5720000000000001,16
1470,12,12.0,12,0.313,0.42087500000000005,0.533,16
1491,10,10.0,10,0.267,0.3635625,0.457,16
1512,8,8.0,8,0.26,0.3343125,0.419,16
1533,6,6.0,6,0.214,0.3045625,0.403,16
1554,4,4.0,4,0.194,0.264125,0.359,16
1575,2,2.0,2,0.128,0.23262499999999997,0.329,16
