Rank,Min Steps,Average Steps,Max Steps,Min Time,Average Time,Max Time,Count
105,3447316,3447316.0,3447316,1760.556,1760.556,1760.556,1
108,2183391,5113788.0,8044185,1402.948,3530.7775,5658.607,2
111,880715,3875256.4285714286,7466563,832.931,2789.195857142857,5420.4800000000005,7
114,607744,2394256.222222222,5138989,715.9780000000001,2037.0684444444446,3638.07,9
117,603793,2511137.9285714286,6603687,713.88,2348.3211428571426,5827.947,14
120,590632,1804832.875,4797526,634.975,1893.465375,4736.647,16
123,279365,1062396.25,2089114,375.515,1279.179875,2640.752,16
126,241038,774532.25,1768863,340.134,1004.2704375000001,2322.576,16
129,129925,420484.75,1106585,141.029,618.5545,1535.497,16
132,20608,217229.3125,423969,24.717,371.591625,718.082,16
