Rank,Min Steps,Average Steps,Max Steps,Min Time,Average Time,Max Time,Count
53,596539,1297631.0,1998723,174.381,301.8945,429.408,2
54,495968,1084443.6666666667,1974029,160.54,251.17666666666665,425.801,3
55,239351,466912.2,675074,79.41,152.0194,179.991,5
56,222100,410809.6,531919,76.007,140.3574,179.08,5
57,198195,325638.2,460988,70.569,120.4328,174.471,5
58,138627,276559.8,422227,50.54,107.3826,163.675,5
59,108748,213282.2,398131,41.578,88.52380000000001,157.393,5
60,76770,170556.2,267251,31.046,74.78960000000001,115.83,5
61,29215,124788.0,201704,13.997,57.53839999999999,91.521,5
62,12429,52016.6,96824,5.849,26.2772,49.891,5
63,2143,35032.0,71195,1.116,18.2334,37.331,5
